Speaker	Sex	Type	Context	Context_tmin	Context_tmax	Rep	Rep_tmin	Rep_tmax	IPA	IPA_t	Segment	Segment_tmin	Segment_tmax	Element	Element_t	F1	F2	F3
AER	M	Adult	how'd	1.787	1.787	1	1.787	1.787	\as	1.787	\as\ic	1.787	1.787	1	1.787	628	1108	2598
AER	M	Adult	how'd	1.914	1.914	1	1.914	1.914	\ic	1.914	\as\ic	1.914	1.914	2	1.914	420	1802	2571
AER	M	Adult	how'd	3.415	3.415	2	3.415	3.415	\as	3.415	\as\ic	3.415	3.415	1	3.415	650	1106	2696
AER	M	Adult	how'd	3.544	3.544	2	3.544	3.544	\ic	3.544	\as\ic	3.544	3.544	2	3.544	413	1792	2541
AER	M	Adult	how'd	5.167	5.167	3	5.167	5.167	\as	5.167	\as\ic	5.167	5.167	1	5.167	655	1065	2767
AER	M	Adult	how'd	5.297	5.297	3	5.297	5.297	\ic	5.297	\as\ic	5.297	5.297	2	5.297	367	1909	2726
AER	M	Adult	how'd	6.86	6.86	4	6.86	6.86	\as	6.86	\as\ic	6.86	6.86	1	6.860	703	1062	2763
AER	M	Adult	how'd	6.992	6.992	4	6.992	6.992	\ic	6.992	\as\ic	6.992	6.992	2	6.992	386	1814	2570
AER	M	Adult	how'd	8.469	8.469	5	8.469	8.469	\as	8.469	\as\ic	8.469	8.469	1	8.469	638	1078	2763
AER	M	Adult	how'd	8.599	8.599	5	8.599	8.599	\ic	8.599	\as\ic	8.599	8.599	2	8.599	430	1872	2571
AER	M	Adult	hide	10.248	10.248	1	10.248	10.248	a	10.248	a\ic	10.248	10.248	1	10.248	846	1455	2853
AER	M	Adult	hide	10.402	10.402	1	10.402	10.402	\ic	10.402	a\ic	10.402	10.402	2	10.402	379	2240	2755
AER	M	Adult	hide	11.836	11.836	2	11.836	11.836	a	11.836	a\ic	11.836	11.836	1	11.836	840	1446	2768
AER	M	Adult	hide	11.981	11.981	2	11.981	11.981	\ic	11.981	a\ic	11.981	11.981	2	11.981	408	2216	2784
AER	M	Adult	hide	13.4	13.4	3	13.4	13.4	a	13.4	a\ic	13.4	13.4	1	13.400	926	1366	3121
AER	M	Adult	hide	13.544	13.544	3	13.544	13.544	\ic	13.544	a\ic	13.544	13.544	2	13.544	368	2172	2708
AER	M	Adult	hide	15.012	15.012	4	15.012	15.012	a	15.012	a\ic	15.012	15.012	1	15.012	924	1442	2926
AER	M	Adult	hide	15.129	15.129	4	15.129	15.129	\ic	15.129	a\ic	15.129	15.129	2	15.129	426	2193	2764
AER	M	Adult	hide	16.651	16.651	5	16.651	16.651	a	16.651	a\ic	16.651	16.651	1	16.651	899	1430	2829
AER	M	Adult	hide	16.792	16.792	5	16.792	16.792	\ic	16.792	a\ic	16.792	16.792	2	16.792	417	2254	2746
AER	M	Adult	shade	18.417	18.417	1	18.417	18.417	i	18.417	i\ic	18.417	18.417	1	18.417	297	2490	3010
AER	M	Adult	shade	18.553	18.553	1	18.553	18.553	\ic	18.553	i\ic	18.553	18.553	2	18.553	387	2071	2801
AER	M	Adult	shade	20.01	20.01	2	20.01	20.01	i	20.01	i\ic	20.01	20.01	1	20.010	300	2453	2960
AER	M	Adult	shade	20.151	20.151	2	20.151	20.151	\ic	20.151	i\ic	20.151	20.151	2	20.151	386	2071	2678
AER	M	Adult	shade	21.653	21.653	3	21.653	21.653	i	21.653	i\ic	21.653	21.653	1	21.653	315	2425	2957
AER	M	Adult	shade	21.774	21.774	3	21.774	21.774	\ic	21.774	i\ic	21.774	21.774	2	21.774	378	2191	2752
AER	M	Adult	shade	23.258	23.258	4	23.258	23.258	i	23.258	i\ic	23.258	23.258	1	23.258	324	2378	2864
AER	M	Adult	shade	23.395	23.395	4	23.395	23.395	\ic	23.395	i\ic	23.395	23.395	2	23.395	393	2109	2690
AER	M	Adult	shade	24.831	24.831	5	24.831	24.831	i	24.831	i\ic	24.831	24.831	1	24.831	312	2405	2894
AER	M	Adult	shade	24.943	24.943	5	24.943	24.943	\ic	24.943	i\ic	24.943	24.943	2	24.943	392	2186	2752
AER	M	Adult	hid	27.63	27.63	1	27.63	27.63	\ic	27.63	\ic	27.63	27.63	2	27.630	383	2297	2891
AER	M	Adult	hid	29.153	29.153	2	29.153	29.153	\ic	29.153	\ic	29.153	29.153	2	29.153	391	2290	2928
AER	M	Adult	hid	30.692	30.692	3	30.692	30.692	\ic	30.692	\ic	30.692	30.692	2	30.692	371	2307	2843
AER	M	Adult	hid	32.204	32.204	4	32.204	32.204	\ic	32.204	\ic	32.204	32.204	2	32.204	390	2306	2904
AER	M	Adult	hid	33.683	33.683	5	33.683	33.683	\ic	33.683	\ic	33.683	33.683	2	33.683	386	2294	2869
