speaker	identity	sound	rep	element	name	time	F1	F2	F3
AER	male	tri	1	1	C\^ji	1.068	227	2390.748	2915.257
AER	male	tri	1	2	C\^ji	2.08	239.1205744	2498.200228	2926.170914
AER	male	tri	1	3	C\^ji	3.164	208.4757349	2519.899411	2979.905603
AER	male	tri	1	4	C\^ji	4.259	237.0737704	2508.765863	3013.521428
AER	male	tri	1	5	C\^ji	5.36	245.9509734	2462.203792	2993
AER	male	lui	1	1	C\^gi	0.671	218	2451	3059
AER	male	lui	1	2	C\^gi	1.658	217	2475	3119
AER	male	lui	1	3	C\^gi	2.661	244	2449	3069
AER	male	lui	1	4	C\^gi	3.616	251	2417	2932
AER	male	lui	1	5	C\^gi	4.674	229	2541	3237
AER	male	baol	1	1	C\^giC\^g	0.432	264.3057843	2270.302864	2593.887586
AER	male	baol	1	2	C\^giC\^g	1.251	251.6616171	2311.801157	2553.105971
AER	male	baol	1	3	C\^giC\^g	2.144	258.5774433	2192.59006	2468.822669
AER	male	baol	1	4	C\^giC\^g	2.978	243.9361877	2310.332401	2482.253604
AER	male	baol	1	5	C\^giC\^g	3.874	277	2237	2731
