speaker	identity	sound	rep	element	name	time	F1	F2	F3
AER	male	shade	1	1	i	1.705	274	2488	3059
AER	male	shade	1	2	\ic	1.856	416	2056.4	2759
AER	male	shade	2	1	i	3.291347	254.053611	2347.259725	2900.581242
AER	male	shade	2	2	\ic	3.409821	372.669541	2065.099079	2734.716881
AER	male	shade	3	1	i	4.844837	259.255323	2292.652151	2903.84186
AER	male	shade	3	2	\ic	4.970263	383.097149	2035.401204	2698.17688
AER	male	shade	4	1	i	6.452011	256.398156	2396.956946	2948.353126
AER	male	shade	4	2	\ic	6.56544	397.235212	2095.403009	2816.428909
AER	male	shade	5	1	i	7.995167	267.692705	2361.002377	3005.529213
AER	male	shade	5	2	\ic	8.127767	400.516425	2015.639692	2838.019141
AER	male	how'd	1	1	\as	0.991184	957.794038	1222.210686	2895.400335
AER	male	how'd	1	2	\ic	1.141734	416.386308	2161.708618	2728.086849
AER	male	how'd	2	1	\as	2.434582	937.218392	1156.529452	2871.119769
AER	male	how'd	2	2	\ic	2.585406	377.086824	2164.729576	2702.85517
AER	male	how'd	3	1	\as	3.997303	831.441365	1092.874416	2946.296358
AER	male	how'd	3	2	\ic	4.13996	381.59429	2003.008682	2651.614458
AER	male	how'd	4	1	\as	5.421674	897.93279	1172.827977	2843.999303
AER	male	how'd	4	2	\ic	5.566034	427.086675	1962.714202	2724.545234
AER	male	how'd	5	1	\as	6.8878	718.24	1189.49	2778.02
AER	male	how'd	5	2	\ic	7.030138	421.700417	2060.22033	2740.627244
